image_id,corridor_id,primitive_id,prompt,candidate_index,sam_score,inside_corridor_ratio,seed_overlap_ratio,iou_seed,groove_overlap,glare_overlap,area_ratio,selector_score,accepted
VIN005_01,1,4,raised fleshy surface region on a bitter melon,0,0.145751953125,0.6529393947737974,0.13113061435209086,0.002746673443236317,0.022237519618911253,0.06342390179634094,46.87274135260712,0.23216738286846061,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,1,0.112548828125,1.0,0.0,0.0,0.0,0.10321573168039322,0.4969024264326278,0.3250007949551788,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,2,0.20361328125,1.0,0.0,0.0,0.0,0.12640394270420074,0.8066597831698503,0.358854060987252,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,3,0.09869384765625,0.8385585638011551,0.2785234899328859,0.007692362531992101,0.019676447910150285,0.0661560446023941,35.48631905007744,0.32414640683755996,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,4,0.08502197265625,0.00013933480968940197,0.0,0.0,0.020319165651301298,0.047512236982584,87.0720185854414,0.0032956180408288084,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,5,0.09442138671875,0.004055061705639384,0.0,0.0,0.03074641621354424,0.053448960185050964,154.04878678368613,0.0025600996278912084,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,6,0.1593017578125,0.9998624105668684,0.0,0.0,0.0,0.1324397772550583,1.876097057305111,0.331124220831944,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,7,0.08441162109375,1.0,0.0,0.0,0.0,0.15581512451171875,1.0547237996902425,0.3535134258821089,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,8,0.0992431640625,1.0,0.0,0.0,0.0,0.15018349885940552,1.648167268972638,0.3284332625038846,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,9,0.16943359375,1.0,1.0,0.444674012855831,0.0,0.10412232577800751,2.2488384099122354,0.6809370477589256,True
VIN005_01,1,4,raised fleshy surface region on a bitter melon,10,0.12841796875,1.0,0.0,0.0,0.0,0.13462254405021667,0.6590087764584409,0.33736105484265794,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,11,0.93017578125,1.0,0.9997418688693857,0.6101134215500945,0.0,0.1092129796743393,1.6383582860092927,0.8048495948283313,True
VIN005_01,1,4,raised fleshy surface region on a bitter melon,12,0.327880859375,0.17406393172369244,0.0,0.0,0.030000573624734697,0.058247778564691544,207.0,0.07781014042746333,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,13,0.10870361328125,0.9997635374793096,0.0,0.0,0.0,0.12687444686889648,2.18327310273619,0.3194705005446403,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,14,0.1241455078125,1.0,0.7392875580795044,0.16259793346201884,0.0,0.13034425675868988,4.286009292720702,0.5444333216718007,False
VIN005_01,1,4,raised fleshy surface region on a bitter melon,15,0.09735107421875,0.6220653413432713,0.0,0.0,0.01957418793571672,0.06071414798498154,43.913784202374806,0.17891020650538428,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,0,0.0869140625,0.8875178948803599,0.0,0.0,0.022973617833526486,0.06865956634283066,4.512150107659182,0.2665771157981363,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,1,0.0823974609375,0.6594626168224299,0.9972316210396801,0.47280151669826453,0.052424065420560745,0.267702579498291,2.1064287911411874,0.5565208488571175,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,2,0.1190185546875,0.33581784818959504,0.0,0.0,0.024857209314346262,0.054337967187166214,59.50938172869886,0.1003370706647965,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,3,0.129638671875,0.9751614887726854,0.0,0.0,0.003768071362657644,0.08687359094619751,4.0,0.30089835593312464,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,4,0.1312255859375,0.948410984264116,0.0,0.0,0.014748534402962048,0.054711584001779556,9.969240233774224,0.28200019604530424,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,5,0.1724853515625,1.0,0.0,0.0,0.0,0.15444329380989075,1.2306982466933252,0.35334652774544306,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,6,0.10687255859375,0.598839729270163,0.7090126115041526,0.07450143831410194,0.04294335344913813,0.11219777911901474,9.2257766840972,0.39325065090636996,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,7,0.1163330078125,0.6211020284589767,0.9329437096278068,0.11384280459424968,0.03932031486527399,0.11746538430452347,8.127960627499231,0.4739940519912521,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,8,0.2705078125,1.0,0.0,0.0,0.0,0.10605926066637039,2.6071977852968318,0.3346604816868037,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,9,0.092041015625,0.008107213765718067,0.0,0.0,0.03846790205162144,0.042257122695446014,3.7182405413718858,0.023756344117603894,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,10,0.09967041015625,0.0,0.0,0.0,0.012840923373413214,0.0446358285844326,58.736388803445095,0.007183415937148517,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,11,0.090087890625,0.5190231553867918,0.19686250384497078,0.021714789807620535,0.049586776859504134,0.087278813123703,8.262688403568133,0.2105839746648982,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,12,0.92529296875,0.7409038994942079,0.9975392187019378,0.5284340883167672,0.039321259585576765,0.284430593252182,1.885266071977853,0.6929777335414111,True
VIN005_01,1,37,raised fleshy surface region on a bitter melon,13,0.10595703125,0.0,0.0,0.0,0.031339817652321224,0.0809706300497055,32.32051676407259,0.0024444377642430983,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,14,0.1239013671875,0.024451593100616672,0.0,0.0,0.022964725766653513,0.04650408402085304,77.16487234697016,0.014438079425156668,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,15,0.09124755859375,0.0,0.0,0.0,0.05450767632459887,0.05831115320324898,13.32359274069517,0.0013876659812696642,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,16,0.1708984375,1.0,0.0,0.0,0.0,0.148498073220253,1.0578283605044603,0.364254602292278,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,17,0.08978271484375,1.0,0.5373731159643187,0.41193114831407684,0.0,0.20298802852630615,0.8418948015995078,0.552530140214091,True
VIN005_01,1,37,raised fleshy surface region on a bitter melon,18,0.1678466796875,0.9669538588111617,0.0,0.0,0.008227255067760586,0.0665757954120636,13.459550907413103,0.28986090209983917,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,19,0.08990478515625,0.9742660770419308,0.0,0.0,0.008631253662954872,0.05900947377085686,17.319901568748076,0.281755031050596,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,20,0.10302734375,0.0,0.0,0.0,0.12419700214132762,0.2244003713130951,0.7182405413718855,0.027031094426437707,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,21,0.1729736328125,0.00396652059349857,0.0,0.0,0.021748932632557876,0.04569214582443237,130.97939095662872,0.014473086623088572,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,22,0.0880126953125,0.0,0.0,0.0,0.0487154396669161,0.07288959622383118,32.0633651184251,-0.002517672810455421,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,23,0.1844482421875,1.0,0.0,0.0,0.0,0.13520674407482147,0.7763764995386035,0.35342736949960263,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,24,0.29736328125,0.16076625314210047,0.047062442325438325,0.00019367284731997285,0.030347162387818434,0.055966153740882874,242.04675484466318,0.0846239079486215,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,25,0.0855712890625,2.3533657051860335e-05,0.0,0.0,0.019454489829537878,0.04211650788784027,39.21162719163334,0.005055136689889002,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,26,0.10321044921875,0.0,0.0,0.0,0.042299720282534765,0.06677262485027313,45.85635189172562,0.00032807823962821125,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,27,0.11419677734375,0.9746520504832484,0.0,0.0,0.011323643555092449,0.05471765995025635,28.929867733005228,0.2827293540933783,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,28,0.11083984375,0.8671230282204605,0.0,0.0,0.020049243756595145,0.054691337049007416,34.10550599815441,0.25005573574697754,False
VIN005_01,1,37,raised fleshy surface region on a bitter melon,29,0.118408203125,0.34538205820003853,0.0,0.0,0.023366737328965118,0.05185601860284805,76.6139649338665,0.10313832777274891,False
